name subject,FRA121,FRA142,FRA162,FRA163,GEN111,GEN121,MTH102
credit,3,3,1,1,3,3,3
student ID,Academic Regcord,,,,,,
59340500001,2,2,2,,3,3.5,2
59340500002,3.5,3,4,,3,2,2
59340500003,3,3,3,4,,3,4
59340500004,3,,2,,,,1
59340500005,3,,2.5,2,4,1,2
59340500006,3,3,,2.5,,4,4
59340500007,,,4,2,3,1.5,2
59340500008,4,1,1,,3,2.5,
59340500009,,,4,3,4,,3.5
59340500010,,3,3,2.5,3,,3
59340500011,3,2,4,,3,3,
59340500012,4,4,,,4,,4
59340500013,3.5,,4,3,,3,
59340500014,,2,2,2.5,,3,
59340500015,3.5,,3,,4,,4
59340500016,3.5,4,,,3,,2.5
59340500017,3,,3,,3,3.5,
59340500018,2.5,2.5,,3,1.5,2,3
59340500019,3.5,,2.5,,,4,2.5
59340500020,3,,4,3,3,,3
59340500021,3.5,4,,3,,,2.5
59340500022,2.5,,2,,4,3,
59340500023,,3.5,3,2.5,2.5,3,
59340500024,3,,,3,3,,3
59340500025,,,4,2,,2.5,4
59340500026,4,3,2.5,,4,3,3.5
59340500027,,,1.5,3,4,,
59340500028,3.5,,2,3.5,,4,
59340500029,,3.5,2,,4,3.5,2.5
59340500030,3,,3,3,,3,4
59340500031,4,2.5,3.5,,3.5,3,
59340500032,4,3.5,,3,,2.5,4
59340500033,3.5,4,3,,3.5,,2.5
59340500034,3,,4,,,3,2.5
59340500035,,3,4,3,4,,3
59340500036,3,4,,2.5,,3.5,4
59340500037,,,3,2.5,4,,3.5
59340500038,3,3,,4,,3.5,
59340500039,,3.5,2.5,3.5,3.5,,
59340500040,,4,4,4,2.5,,4
59340500041,4,,3.5,,2,2.5,3.5
59340500042,3,3,,,3.5,,3
59340500042,,3,3,2.5,4,,2.5
59340500043,,2,4,3,1.5,3,
59340500044,3.5,,4,2,3,,4
59340500045,,,3.5,2,3.5,,4
59340500046,4,3,3,4,,3,
59340500047,4,4,,,4,,2.5
59340500048,,2,2.5,3,2,3,4
59340500049,3.5,3.5,,,3,,2
59340500050,3,,3,2.5,,4,1.5
